Run#:, 180, Scores:,    black:, 20, white:, 44,   Spread:, -24, Win Score:, -1
Run#:, 181, Scores:,    black:, 20, white:, 44,   Spread:, -24, Win Score:, -1
Run#:, 182, Scores:,    black:, 25, white:, 39,   Spread:, -14, Win Score:, -1
Run#:, 183, Scores:,    black:, 36, white:, 28,   Spread:, 8, Win Score:, 1
Run#:, 184, Scores:,    black:, 26, white:, 37,   Spread:, -11, Win Score:, -1
Run#:, 185, Scores:,    black:, 32, white:, 31,   Spread:, 1, Win Score:, 1
Run#:, 186, Scores:,    black:, 28, white:, 36,   Spread:, -8, Win Score:, -1
Run#:, 187, Scores:,    black:, 40, white:, 24,   Spread:, 16, Win Score:, 1
Run#:, 188, Scores:,    black:, 22, white:, 42,   Spread:, -20, Win Score:, -1
Run#:, 189, Scores:,    black:, 32, white:, 32,   Spread:, 0, Win Score:, 0
Run#:, 190, Scores:,    black:, 43, white:, 20,   Spread:, 23, Win Score:, 1
Run#:, 191, Scores:,    black:, 29, white:, 35,   Spread:, -6, Win Score:, -1
Run#:, 192, Scores:,    black:, 31, white:, 33,   Spread:, -2, Win Score:, -1
Run#:, 193, Scores:,    black:, 33, white:, 31,   Spread:, 2, Win Score:, 1
Run#:, 194, Scores:,    black:, 11, white:, 53,   Spread:, -42, Win Score:, -1
Run#:, 195, Scores:,    black:, 28, white:, 35,   Spread:, -7, Win Score:, -1
Run#:, 196, Scores:,    black:, 29, white:, 35,   Spread:, -6, Win Score:, -1
Run#:, 197, Scores:,    black:, 25, white:, 36,   Spread:, -11, Win Score:, -1
Run#:, 198, Scores:,    black:, 26, white:, 38,   Spread:, -12, Win Score:, -1
Run#:, 199, Scores:,    black:, 28, white:, 35,   Spread:, -7, Win Score:, -1
Run#:, 200, Scores:,    black:, 35, white:, 29,   Spread:, 6, Win Score:, 1
Run#:, 201, Scores:,    black:, 45, white:, 18,   Spread:, 27, Win Score:, 1
Run#:, 202, Scores:,    black:, 22, white:, 42,   Spread:, -20, Win Score:, -1
Run#:, 203, Scores:,    black:, 28, white:, 36,   Spread:, -8, Win Score:, -1
